State,School Ranking,Mental Health Ranking,Income Ranking,Mean Income
New Jersey,1,9,5,"73,980"
New Hampshire,2,13,15,"66,110"
Connecticut,3,10,6,"73,740"
Vermont,4,2,19,"62,780"
Massachusetts,5,19,1,"80,330"
New York,6,11,2,"78,620"
Maine,7,15,26,"60,000"
Colorado,8,26,8,"71,960"
Pennsylvania,9,29,20,"61,920"
Virginia,10,17,9,"70,050"
Delaware,11,6,16,"65,990"
Maryland,12,7,7,"73,620"
Washington,13,30,3,"78,130"
Wyoming,14,36,33,"57,930"
Minnesota,15,1,13,"66,700"
Iowa,16,16,37,"56,400"
South Dakota,17,4,47,"53,230"
Ohio,18,32,27,"59,890"
Wisconsin,19,5,29,"59,500"
Illinois,20,18,11,"67,130"
Nebraska,21,14,32,"58,080"
Rhode Island,22,12,14,"66,610"
Indiana,23,31,36,"56,420"
Oregon,24,41,12,"66,710"
North Dakota,25,8,30,"59,050"
Missouri,26,35,34,"57,580"
Montana,27,24,40,"55,920"
Kansas,28,22,38,"56,270"
Michigan,29,20,24,"60,600"
Kentucky,30,47,43,"54,030"
Georgia,31,37,21,"61,250"
Arkansas,32,44,49,"51,250"
Idaho,33,33,41,"55,640"
West Virginia,34,48,48,"52,200"
Alaska,35,23,10,"69,880"
Hawaii,36,3,17,"65,030"
Utah,37,42,23,"61,070"
Texas,38,39,22,"61,240"
Mississippi,39,50,50,"47,570"
California,40,27,4,"76,960"
Tennessee,41,40,39,"56,030"
Florida,42,34,25,"60,210"
North Carolina,43,21,28,"59,730"
Oklahoma,44,45,44,"53,450"
South Carolina,45,24,42,"54,250"
Alabama,46,46,46,"53,400"
New Mexico,47,38,35,"57,520"
Nevada,48,43,31,"58,900"
Louisiana,49,49,45,"53,440"
Arizona,50,28,18,"63,040"
